"","country","AG","AGt","diff","Tc"
"1","Afghanistan",1191,1202,-11,FALSE
"2","Argentina",1953,1940,13,TRUE
"3","Australia",866,842,24,TRUE
"4","Austria",956,938,18,TRUE
"5","Bangladesh",1581,1550,31,TRUE
"6","Belgium",1640,1534,106,TRUE
"7","Bolivia",1531,1506,25,TRUE
"8","Brazil",3057,3030,27,TRUE
"9","Canada",1795,1733,62,TRUE
"10","Chile",2005,1985,20,TRUE
"11","Colombia",1973,1936,37,TRUE
"12","Costa_Rica",821,807,14,TRUE
"13","Czechia",1020,1006,14,TRUE
"14","Denmark",806,776,30,TRUE
"15","Dominican_R.",1404,1394,10,FALSE
"16","Ecuador",2512,2583,-71,FALSE
"17","Egypt",1659,1613,46,TRUE
"18","France",2521,2380,141,TRUE
"19","Germany",1798,1704,94,TRUE
"20","Guatemala",1324,1314,10,FALSE
"21","Honduras",1381,1381,0,FALSE
"22","Hungary",1001,979,22,TRUE
"23","India",2481,2427,54,TRUE
"24","Indonesia",1998,1974,24,TRUE
"25","Iraq",1660,1616,44,TRUE
"26","Ireland",1046,1031,15,TRUE
"27","Israel",1255,1220,35,TRUE
"28","Italy",2229,2125,104,TRUE
"29","Japan",1313,1300,13,TRUE
"30","Libya",750,744,6,FALSE
"31","Mexico",2761,2781,-20,FALSE
"32","Moldova",1242,1220,22,TRUE
"33","Morocco",1205,1173,32,TRUE
"34","Netherlands",1494,1454,40,TRUE
"35","Pakistan",1592,1562,30,TRUE
"36","Panama",1370,1334,36,TRUE
"37","Paraguay",749,740,9,FALSE
"38","Peru",2169,2136,33,TRUE
"39","Philippines",1943,1975,-32,FALSE
"40","Poland",1572,1558,14,TRUE
"41","Portugal",1351,1303,48,TRUE
"42","Romania",1693,1649,44,TRUE
"43","Russia",2110,2064,46,TRUE
"44","Saudi_Arabia",1539,1499,40,TRUE
"45","South_Africa",2070,2095,-25,FALSE
"46","Spain",2203,2129,74,TRUE
"47","Sweden",1457,1381,76,TRUE
"48","Switzerland",990,953,37,TRUE
"49","Turkey",1828,1733,95,TRUE
"50","Ukraine",1618,1586,32,TRUE
"51","United_Kingdom",2423,2312,111,TRUE
"52","USA",3978,3872,106,TRUE
