"","country","AG","AGt","diff","Tc"
"1","Afghanistan",1198,1205,-7,FALSE
"2","Argentina",1959,1954,5,FALSE
"3","Australia",862,849,13,TRUE
"4","Austria",952,944,8,FALSE
"5","Bangladesh",1568,1552,16,TRUE
"6","Belgium",1593,1535,58,TRUE
"7","Bolivia",1523,1511,12,TRUE
"8","Brazil",3089,3077,12,TRUE
"9","Canada",1766,1732,34,TRUE
"10","Chile",2010,1998,12,TRUE
"11","Colombia",1956,1936,20,TRUE
"12","Costa_Rica",830,824,6,FALSE
"13","Czechia",1015,1008,7,FALSE
"14","Denmark",800,787,13,TRUE
"15","Dominican_R.",1401,1397,4,FALSE
"16","Ecuador",2604,2634,-30,FALSE
"17","Egypt",1644,1619,25,TRUE
"18","France",2479,2394,85,TRUE
"19","Germany",1775,1724,51,TRUE
"20","Guatemala",1329,1325,4,FALSE
"21","Honduras",1383,1385,-2,FALSE
"22","Hungary",994,983,11,TRUE
"23","India",2463,2433,30,TRUE
"24","Indonesia",1988,1976,12,TRUE
"25","Iraq",1643,1621,22,TRUE
"26","Ireland",1048,1042,6,FALSE
"27","Israel",1243,1221,22,TRUE
"28","Italy",2167,2113,54,TRUE
"29","Japan",1306,1301,5,FALSE
"30","Libya",765,763,2,FALSE
"31","Mexico",2798,2810,-12,FALSE
"32","Moldova",1238,1228,10,FALSE
"33","Morocco",1195,1178,17,TRUE
"34","Netherlands",1480,1460,20,TRUE
"35","Pakistan",1580,1565,15,TRUE
"36","Panama",1362,1344,18,TRUE
"37","Paraguay",753,749,4,FALSE
"38","Peru",2157,2139,18,TRUE
"39","Philippines",1954,1975,-21,FALSE
"40","Poland",1565,1559,6,FALSE
"41","Portugal",1329,1303,26,TRUE
"42","Romania",1674,1650,24,TRUE
"43","Russia",2096,2070,26,TRUE
"44","Saudi_Arabia",1524,1503,21,TRUE
"45","South_Africa",2077,2092,-15,FALSE
"46","Spain",2156,2114,42,TRUE
"47","Sweden",1427,1386,41,TRUE
"48","Switzerland",979,960,19,TRUE
"49","Turkey",1788,1735,53,TRUE
"50","Ukraine",1611,1595,16,TRUE
"51","United_Kingdom",2392,2330,62,TRUE
"52","USA",3983,3928,55,TRUE
