,country,region,region2,AG,AGt,diff,Tc
1,Afghanistan,EMRO,AF-EMRO,1191,1202,-11,FALSE
2,Argentina,PAHO,PAHO,1953,1940,13,TRUE
3,Australia,WPRO,SEA-WPRO,866,842,24,TRUE
4,Austria,EURO,EURO,956,938,18,TRUE
5,Bangladesh,SEARO,SEA-WPRO,1581,1550,31,TRUE
6,Belgium,EURO,EURO,1640,1534,106,TRUE
7,Bolivia,PAHO,PAHO,1531,1506,25,TRUE
8,Brazil,PAHO,PAHO,3057,3030,27,TRUE
9,Canada,PAHO,PAHO,1795,1733,62,TRUE
10,Chile,PAHO,PAHO,2005,1985,20,TRUE
11,Colombia,PAHO,PAHO,1973,1936,37,TRUE
12,Costa_Rica,PAHO,PAHO,821,807,14,TRUE
13,Czechia,EURO,EURO,1020,1006,14,TRUE
14,Denmark,EURO,EURO,806,776,30,TRUE
15,Dominican_R.,PAHO,PAHO,1404,1394,10,FALSE
16,Ecuador,PAHO,PAHO,2512,2583,-71,FALSE
17,Egypt,EMRO,AF-EMRO,1659,1613,46,TRUE
18,France,EURO,EURO,2521,2380,141,TRUE
19,Germany,EURO,EURO,1798,1704,94,TRUE
20,Guatemala,PAHO,PAHO,1324,1314,10,FALSE
21,Honduras,PAHO,PAHO,1381,1381,0,FALSE
22,Hungary,EURO,EURO,1001,979,22,TRUE
23,India,SEARO,SEA-WPRO,2481,2427,54,TRUE
24,Indonesia,SEARO,SEA-WPRO,1998,1974,24,TRUE
25,Iraq,EMRO,AF-EMRO,1660,1616,44,TRUE
26,Ireland,EURO,EURO,1046,1031,15,TRUE
27,Israel,EURO,EURO,1255,1220,35,TRUE
28,Italy,EURO,EURO,2229,2125,104,TRUE
29,Japan,WPRO,SEA-WPRO,1313,1300,13,TRUE
30,Libya,EMRO,AF-EMRO,750,744,6,FALSE
31,Mexico,PAHO,PAHO,2761,2781,-20,FALSE
32,Moldova,EURO,EURO,1242,1220,22,TRUE
33,Morocco,EMRO,AF-EMRO,1205,1173,32,TRUE
34,Netherlands,EURO,EURO,1494,1454,40,TRUE
35,Pakistan,EMRO,AF-EMRO,1592,1562,30,TRUE
36,Panama,PAHO,PAHO,1370,1334,36,TRUE
37,Paraguay,PAHO,PAHO,749,740,9,FALSE
38,Peru,PAHO,PAHO,2169,2136,33,TRUE
39,Philippines,WPRO,SEA-WPRO,1943,1975,-32,FALSE
40,Poland,EURO,EURO,1572,1558,14,TRUE
41,Portugal,EURO,EURO,1351,1303,48,TRUE
42,Romania,EURO,EURO,1693,1649,44,TRUE
43,Russia,EURO,EURO,2110,2064,46,TRUE
44,Saudi_Arabia,EMRO,AF-EMRO,1539,1499,40,TRUE
45,South_Africa,AFRO,AF-EMRO,2070,2095,-25,FALSE
46,Spain,EURO,EURO,2203,2129,74,TRUE
47,Sweden,EURO,EURO,1457,1381,76,TRUE
48,Switzerland,EURO,EURO,990,953,37,TRUE
49,Turkey,EURO,EURO,1828,1733,95,TRUE
50,Ukraine,EURO,EURO,1618,1586,32,TRUE
51,United_Kingdom,EURO,EURO,2423,2312,111,TRUE
52,USA,PAHO,PAHO,3978,3872,106,TRUE
