,country,region,region2,AG,AGt,diff,Tc
1,Afghanistan,EMRO,AF-EMRO,1198,1205,-7,FALSE
2,Argentina,PAHO,PAHO,1959,1954,5,FALSE
3,Australia,WPRO,SEA-WPRO,862,849,13,TRUE
4,Austria,EURO,EURO,952,944,8,FALSE
5,Bangladesh,SEARO,SEA-WPRO,1568,1552,16,TRUE
6,Belgium,EURO,EURO,1593,1535,58,TRUE
7,Bolivia,PAHO,PAHO,1523,1511,12,TRUE
8,Brazil,PAHO,PAHO,3089,3077,12,TRUE
9,Canada,PAHO,PAHO,1766,1732,34,TRUE
10,Chile,PAHO,PAHO,2010,1998,12,TRUE
11,Colombia,PAHO,PAHO,1956,1936,20,TRUE
12,Costa_Rica,PAHO,PAHO,830,824,6,FALSE
13,Czechia,EURO,EURO,1015,1008,7,FALSE
14,Denmark,EURO,EURO,800,787,13,TRUE
15,Dominican_R.,PAHO,PAHO,1401,1397,4,FALSE
16,Ecuador,PAHO,PAHO,2604,2634,-30,FALSE
17,Egypt,EMRO,AF-EMRO,1644,1619,25,TRUE
18,France,EURO,EURO,2479,2394,85,TRUE
19,Germany,EURO,EURO,1775,1724,51,TRUE
20,Guatemala,PAHO,PAHO,1329,1325,4,FALSE
21,Honduras,PAHO,PAHO,1383,1385,-2,FALSE
22,Hungary,EURO,EURO,994,983,11,TRUE
23,India,SEARO,SEA-WPRO,2463,2433,30,TRUE
24,Indonesia,SEARO,SEA-WPRO,1988,1976,12,TRUE
25,Iraq,EMRO,AF-EMRO,1643,1621,22,TRUE
26,Ireland,EURO,EURO,1048,1042,6,FALSE
27,Israel,EURO,EURO,1243,1221,22,TRUE
28,Italy,EURO,EURO,2167,2113,54,TRUE
29,Japan,WPRO,SEA-WPRO,1306,1301,5,FALSE
30,Libya,EMRO,AF-EMRO,765,763,2,FALSE
31,Mexico,PAHO,PAHO,2798,2810,-12,FALSE
32,Moldova,EURO,EURO,1238,1228,10,FALSE
33,Morocco,EMRO,AF-EMRO,1195,1178,17,TRUE
34,Netherlands,EURO,EURO,1480,1460,20,TRUE
35,Pakistan,EMRO,AF-EMRO,1580,1565,15,TRUE
36,Panama,PAHO,PAHO,1362,1344,18,TRUE
37,Paraguay,PAHO,PAHO,753,749,4,FALSE
38,Peru,PAHO,PAHO,2157,2139,18,TRUE
39,Philippines,WPRO,SEA-WPRO,1954,1975,-21,FALSE
40,Poland,EURO,EURO,1565,1559,6,FALSE
41,Portugal,EURO,EURO,1329,1303,26,TRUE
42,Romania,EURO,EURO,1674,1650,24,TRUE
43,Russia,EURO,EURO,2096,2070,26,TRUE
44,Saudi_Arabia,EMRO,AF-EMRO,1524,1503,21,TRUE
45,South_Africa,AFRO,AF-EMRO,2077,2092,-15,FALSE
46,Spain,EURO,EURO,2156,2114,42,TRUE
47,Sweden,EURO,EURO,1427,1386,41,TRUE
48,Switzerland,EURO,EURO,979,960,19,TRUE
49,Turkey,EURO,EURO,1788,1735,53,TRUE
50,Ukraine,EURO,EURO,1611,1595,16,TRUE
51,United_Kingdom,EURO,EURO,2392,2330,62,TRUE
52,USA,PAHO,PAHO,3983,3928,55,TRUE
