"","country","driving","transit","walking","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","residential_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","Apple_c","Google_c","AG"
"1","Afghanistan",NA,NA,NA,990,990,993,990,993,997,NA,991,989
"2","Argentina",1444,NA,1441,1435,1435,1432,1433,1429,1432,1442,1432,1435
"3","Australia",684,697,678,680,685,681,681,679,674,679,680,678
"4","Austria",746,NA,740,732,722,721,722,720,722,744,722,736
"5","Bangladesh",NA,NA,NA,1240,1247,1235,1237,1232,1232,NA,1235,1242
"6","Belgium",1405,1360,1370,1326,1423,1332,1356,1312,1312,1373,1328,1354
"7","Bolivia",NA,NA,NA,1214,1219,1210,1211,1207,1210,NA,1210,1216
"8","Brazil",2442,2443,2462,2462,2487,2505,2497,2510,2489,2463,2493,2480
"9","Canada",1481,1490,1481,1487,1471,1487,1487,1481,1485,1484,1487,1485
"10","Chile",1609,NA,1612,1605,1611,1599,1597,1602,1603,1611,1599,1608
"11","Colombia",1572,NA,1567,1558,1563,1554,1555,1550,1553,1568,1553,1554
"12","Denmark",656,664,654,630,630,626,626,624,627,654,626,641
"13","Dominican_R.",NA,NA,NA,1150,1152,1149,1150,1148,1145,NA,1149,1151
"14","Ecuador",NA,NA,NA,1846,1839,1864,1860,1875,1868,NA,1866,1846
"15","Egypt",1379,NA,1374,1364,1369,1362,1362,1360,1361,1375,1361,1364
"16","France",2117,2001,2104,2004,1958,1958,1985,1956,2023,2109,1990,2096
"17","Germany",1505,1485,1508,1518,1477,1431,1430,1436,1427,1506,1451,1505
"18","Guatemala",NA,NA,NA,1020,1021,1016,1016,1017,1019,NA,1017,1020
"19","Honduras",NA,NA,NA,1090,1089,1090,1090,1090,1092,NA,1090,1090
"20","India",1951,NA,1946,1935,1925,1927,1928,1925,1929,1946,1928,1934
"21","Indonesia",1555,NA,1548,1530,1530,1524,1527,1520,1521,1551,1524,1539
"22","Iraq",NA,NA,NA,1295,1300,1292,1292,1288,1290,NA,1291,1297
"23","Ireland",894,870,870,882,871,857,864,856,860,880,862,875
"24","Israel",920,NA,915,899,910,899,901,893,892,916,897,906
"25","Italy",1951,1868,1905,1919,1928,1889,1873,1897,1888,1914,1888,1896
"26","Japan",1076,1091,1067,1080,1073,1075,1072,1076,1076,1072,1076,1072
"27","Mexico",2185,2175,2195,2211,2208,2223,2213,2230,2230,2195,2220,2206
"28","Morocco",886,NA,877,875,881,873,874,871,867,880,872,874
"29","Netherlands",1246,1189,1234,1217,1252,1203,1204,1196,1204,1220,1201,1202
"30","Pakistan",NA,NA,NA,1326,1334,1327,1327,1323,1323,NA,1324,1330
"31","Panama",NA,NA,NA,1098,1102,1093,1095,1089,1091,NA,1093,1100
"32","Peru",NA,NA,NA,1695,1691,1684,1685,1685,1693,NA,1686,1693
"33","Philippines",1496,1473,1500,1515,1507,1521,1519,1526,1523,1499,1521,1512
"34","Poland",1208,NA,1203,1185,1190,1181,1179,1176,1181,1204,1180,1195
"35","Portugal",1108,NA,1092,1073,1071,1057,1059,1053,1062,1101,1061,1085
"36","Romania",1330,NA,1325,1309,1315,1304,1306,1301,1299,1326,1304,1315
"37","Russia",1693,NA,1691,1677,1681,1674,1675,1676,1676,1691,1675,1683
"38","Saudi_Arabia",1238,NA,1231,1218,1222,1212,1213,1210,1213,1232,1212,1218
"39","South_Africa",1480,NA,1480,1481,1470,1480,1479,1484,1494,1479,1483,1479
"40","Spain",1799,1711,1701,1813,1907,1819,1776,1782,1777,1721,1780,1721
"41","Sweden",1302,1333,1300,1267,1278,1264,1271,1246,1261,1300,1261,1292
"42","Switzerland",916,888,912,907,925,886,906,876,896,909,882,906
"43","Turkey",1483,NA,1472,1453,1471,1449,1438,1437,1426,1477,1438,1461
"44","Ukraine",1229,NA,1223,1208,1213,1204,1206,1201,1203,1224,1204,1211
"45","United_Kingdom",2088,1927,2033,2042,2159,2041,2065,2002,1958,2034,2013,2034
"46","USA",3088,2871,3116,3107,3061,3022,3081,2959,3070,3109,3056,3141
