"","country","driving_tc","transit_tc","walking_tc","grocery_and_pharmacy_percent_change_from_baseline_tc","parks_percent_change_from_baseline_tc","residential_percent_change_from_baseline_tc","retail_and_recreation_percent_change_from_baseline_tc","transit_stations_percent_change_from_baseline_tc","workplaces_percent_change_from_baseline_tc","Apple_c_tc","Google_c_tc","AG_tc"
"1","Afghanistan",NA,NA,NA,988,990,988,993,993,992,NA,989,992
"2","Argentina",1425,NA,1425,1424,1423,1420,1427,1424,1423,1420,1418,1421
"3","Australia",658,682,661,673,674,678,674,676,667,666,669,672
"4","Austria",722,NA,718,732,714,722,724,719,724,719,723,721
"5","Bangladesh",NA,NA,NA,1220,1224,1217,1228,1222,1217,NA,1219,1215
"6","Belgium",1252,1298,1251,1272,1266,1251,1252,1252,1256,1254,1257,1252
"7","Bolivia",NA,NA,NA,1192,1193,1196,1193,1198,1196,NA,1202,1190
"8","Brazil",2429,2385,2422,2418,2423,2436,2450,2439,2441,2429,2456,2469
"9","Canada",1406,1430,1410,1405,1404,1402,1403,1402,1404,1405,1405,1403
"10","Chile",1621,NA,1624,1625,1634,1614,1612,1615,1614,1623,1613,1638
"11","Colombia",1517,NA,1515,1508,1511,1511,1510,1512,1514,1515,1523,1509
"12","Denmark",621,636,621,621,620,621,620,620,617,624,618,618
"13","Dominican_R.",NA,NA,NA,1131,1145,1128,1131,1129,1130,NA,1129,1129
"14","Ecuador",NA,NA,NA,1887,1896,1864,1873,1862,1890,NA,1876,1875
"15","Egypt",1321,NA,1325,1322,1324,1319,1321,1321,1321,1322,1325,1318
"16","France",1957,1896,1962,1956,1950,1959,1955,1957,1962,1961,1955,1963
"17","Germany",1408,1408,1419,1421,1401,1411,1405,1406,1404,1414,1404,1409
"18","Guatemala",NA,NA,NA,1010,1009,1009,1006,1010,1009,NA,1009,1005
"19","Honduras",NA,NA,NA,1088,1095,1091,1090,1092,1088,NA,1093,1091
"20","India",1885,NA,1890,1895,1887,1885,1884,1921,1890,1896,1888,1885
"21","Indonesia",1517,NA,1511,1514,1517,1509,1510,1511,1511,1513,1512,1515
"22","Iraq",NA,NA,NA,1263,1270,1259,1261,1274,1260,NA,1265,1261
"23","Ireland",873,861,867,866,860,861,853,855,857,865,857,863
"24","Israel",888,NA,883,876,878,872,868,872,870,882,869,875
"25","Italy",1761,1796,1754,1877,1821,1778,1789,1788,1776,1758,1790,1764
"26","Japan",1062,1074,1060,1075,1068,1075,1070,1075,1075,1064,1075,1067
"27","Mexico",2272,2177,2254,2239,2272,2256,2250,2269,2247,2258,2245,2270
"28","Morocco",854,NA,858,855,859,859,855,855,854,851,857,846
"29","Netherlands",1152,1166,1148,1219,1258,1190,1203,1198,1185,1150,1197,1149
"30","Pakistan",NA,NA,NA,1322,1315,1313,1312,1326,1309,NA,1329,1312
"31","Panama",NA,NA,NA,1068,1068,1062,1067,1066,1060,NA,1064,1063
"32","Peru",NA,NA,NA,1653,1651,1646,1651,1651,1649,NA,1663,1652
"33","Philippines",1545,1497,1548,1545,1542,1551,1546,1546,1550,1548,1548,1551
"34","Poland",1163,NA,1163,1162,1158,1157,1159,1157,1155,1164,1162,1160
"35","Portugal",1048,NA,1044,1046,1044,1037,1043,1041,1042,1041,1044,1039
"36","Romania",1298,NA,1290,1281,1279,1274,1282,1276,1276,1294,1279,1290
"37","Russia",1674,NA,1684,1668,1669,1666,1671,1673,1668,1676,1668,1674
"38","Saudi_Arabia",1187,NA,1185,1186,1189,1183,1187,1180,1180,1186,1188,1180
"39","South_Africa",1469,NA,1479,1465,1467,1467,1467,1470,1466,1466,1466,1466
"40","Spain",1650,1680,1654,1814,1815,1771,1778,1778,1780,1650,1784,1672
"41","Sweden",1217,1260,1217,1216,1211,1211,1211,1220,1210,1214,1211,1205
"42","Switzerland",879,871,874,886,890,879,879,875,887,876,878,875
"43","Turkey",1371,NA,1371,1376,1376,1375,1377,1374,1374,1375,1371,1371
"44","Ukraine",1177,NA,1178,1188,1180,1176,1176,1177,1175,1178,1179,1174
"45","United_Kingdom",1917,1889,1918,1943,1932,1927,1925,1925,1925,1919,1928,1928
"46","USA",2929,2817,2937,2944,2935,2941,2946,2934,2935,2937,2941,2934
