"","country","driving","transit","walking","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","residential_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","Apple_c","Google_c","AG","driving_tc","transit_tc","walking_tc","grocery_and_pharmacy_percent_change_from_baseline_tc","parks_percent_change_from_baseline_tc","residential_percent_change_from_baseline_tc","retail_and_recreation_percent_change_from_baseline_tc","transit_stations_percent_change_from_baseline_tc","workplaces_percent_change_from_baseline_tc","Apple_c_tc","Google_c_tc","AG_tc"
"1","Afghanistan",NA,NA,NA,990,990,993,990,993,997,NA,991,989,NA,NA,NA,996,994,996,996,996,994,NA,996,997
"2","Argentina",1444,NA,1441,1435,1435,1432,1433,1429,1432,1442,1432,1435,1422,NA,1421,1422,1421,1421,1420,1422,1422,1421,1421,1420
"3","Australia",684,697,678,680,685,681,681,679,674,679,680,678,659,682,663,660,666,661,661,662,664,663,662,662
"4","Austria",746,NA,740,732,722,721,722,720,722,744,722,736,719,NA,719,732,721,722,722,721,723,719,723,719
"5","Bangladesh",NA,NA,NA,1240,1247,1235,1237,1232,1232,NA,1235,1242,NA,NA,NA,1212,1212,1208,1209,1209,1209,NA,1209,1206
"6","Belgium",1405,1360,1370,1326,1423,1332,1356,1312,1312,1373,1328,1354,1251,1296,1248,1270,1263,1252,1251,1253,1257,1250,1255,1248
"7","Bolivia",NA,NA,NA,1214,1219,1210,1211,1207,1210,NA,1210,1216,NA,NA,NA,1192,1193,1189,1191,1191,1190,NA,1190,1188
"8","Brazil",2442,2443,2462,2462,2487,2505,2497,2510,2489,2463,2493,2480,2424,2378,2425,2424,2423,2428,2427,2428,2429,2425,2427,2432
"9","Canada",1481,1490,1481,1487,1471,1487,1487,1481,1485,1484,1487,1485,1405,1424,1405,1405,1405,1404,1404,1404,1403,1405,1404,1404
"10","Chile",1609,NA,1612,1605,1611,1599,1597,1602,1603,1611,1599,1608,1583,NA,1584,1587,1589,1581,1582,1582,1585,1583,1584,1583
"11","Colombia",1572,NA,1567,1558,1563,1554,1555,1550,1553,1568,1553,1554,1520,NA,1521,1510,1511,1510,1507,1507,1506,1520,1507,1512
"12","Denmark",656,664,654,630,630,626,626,624,627,654,626,641,617,636,617,621,619,618,615,617,619,617,618,617
"13","Dominican_R.",NA,NA,NA,1150,1152,1149,1150,1148,1145,NA,1149,1151,NA,NA,NA,1132,1137,1131,1131,1130,1130,NA,1130,1129
"14","Ecuador",NA,NA,NA,1846,1839,1864,1860,1875,1868,NA,1866,1846,NA,NA,NA,1883,1889,1881,1884,1881,1896,NA,1880,1892
"15","Egypt",1379,NA,1374,1364,1369,1362,1362,1360,1361,1375,1361,1364,1321,NA,1320,1323,1323,1320,1321,1321,1321,1320,1321,1317
"16","France",2117,2001,2104,2004,1958,1958,1985,1956,2023,2109,1990,2096,1964,1901,1965,1960,1960,1965,1964,1965,1966,1964,1964,1971
"17","Germany",1505,1485,1508,1518,1477,1431,1430,1436,1427,1506,1451,1505,1403,1405,1403,1405,1403,1404,1403,1404,1405,1403,1404,1403
"18","Guatemala",NA,NA,NA,1020,1021,1016,1016,1017,1019,NA,1017,1020,NA,NA,NA,1010,1010,1009,1009,1011,1013,NA,1010,1009
"19","Honduras",NA,NA,NA,1090,1089,1090,1090,1090,1092,NA,1090,1090,NA,NA,NA,1086,1082,1089,1091,1091,1084,NA,1091,1091
"20","India",1951,NA,1946,1935,1925,1927,1928,1925,1929,1946,1928,1934,1883,NA,1882,1886,1884,1881,1882,1881,1882,1882,1882,1879
"21","Indonesia",1555,NA,1548,1530,1530,1524,1527,1520,1521,1551,1524,1539,1517,NA,1514,1513,1510,1508,1508,1509,1508,1515,1509,1509
"22","Iraq",NA,NA,NA,1295,1300,1292,1292,1288,1290,NA,1291,1297,NA,NA,NA,1256,1254,1252,1252,1252,1252,NA,1252,1249
"23","Ireland",894,870,870,882,871,857,864,856,860,880,862,875,891,864,871,880,865,860,861,858,863,877,862,871
"24","Israel",920,NA,915,899,910,899,901,893,892,916,897,906,887,NA,879,875,880,868,868,869,867,884,867,873
"25","Italy",1951,1868,1905,1919,1928,1889,1873,1897,1888,1914,1888,1896,1759,1792,1752,1881,1823,1802,1808,1806,1803,1754,1816,1767
"26","Japan",1076,1091,1067,1080,1073,1075,1072,1076,1076,1072,1076,1072,1060,1072,1056,1077,1066,1072,1067,1074,1075,1059,1074,1066
