"","country","best","value","best_Tc","value","diff"
"1","Afghanistan","AG",989,"workplaces_percent_change_from_baseline_tc",994,-5
"2","Argentina","transit_stations_percent_change_from_baseline",1429,"AG_tc",1420,9
"3","Australia","workplaces_percent_change_from_baseline",674,"driving_tc",659,15
"4","Austria","transit_stations_percent_change_from_baseline",720,"AG_tc",719,1
"5","Bangladesh","workplaces_percent_change_from_baseline",1232,"AG_tc",1206,26
"6","Belgium","workplaces_percent_change_from_baseline",1312,"AG_tc",1248,64
"7","Bolivia","transit_stations_percent_change_from_baseline",1207,"AG_tc",1188,19
"8","Brazil","driving",2442,"transit_tc",2378,64
"9","Canada","parks_percent_change_from_baseline",1471,"workplaces_percent_change_from_baseline_tc",1403,68
"10","Chile","retail_and_recreation_percent_change_from_baseline",1597,"residential_percent_change_from_baseline_tc",1581,16
"11","Colombia","transit_stations_percent_change_from_baseline",1550,"workplaces_percent_change_from_baseline_tc",1506,44
"12","Denmark","transit_stations_percent_change_from_baseline",624,"retail_and_recreation_percent_change_from_baseline_tc",615,9
"13","Dominican_R.","workplaces_percent_change_from_baseline",1145,"AG_tc",1129,16
"14","Ecuador","parks_percent_change_from_baseline",1839,"Google_c_tc",1880,-41
"15","Egypt","transit_stations_percent_change_from_baseline",1360,"AG_tc",1317,43
"16","France","transit_stations_percent_change_from_baseline",1956,"transit_tc",1901,55
"17","Germany","workplaces_percent_change_from_baseline",1427,"AG_tc",1403,24
"18","Guatemala","retail_and_recreation_percent_change_from_baseline",1016,"AG_tc",1009,7
"19","Honduras","parks_percent_change_from_baseline",1089,"parks_percent_change_from_baseline_tc",1082,7
"20","India","transit_stations_percent_change_from_baseline",1925,"AG_tc",1879,46
"21","Indonesia","transit_stations_percent_change_from_baseline",1520,"workplaces_percent_change_from_baseline_tc",1508,12
"22","Iraq","transit_stations_percent_change_from_baseline",1288,"AG_tc",1249,39
"23","Ireland","transit_stations_percent_change_from_baseline",856,"transit_stations_percent_change_from_baseline_tc",858,-2
"24","Israel","workplaces_percent_change_from_baseline",892,"Google_c_tc",867,25
"25","Italy","transit",1868,"walking_tc",1752,116
"26","Japan","walking",1067,"walking_tc",1056,11
"27","Mexico","transit",2175,"transit_tc",2157,18
"28","Morocco","workplaces_percent_change_from_baseline",867,"AG_tc",847,20
"29","Netherlands","transit",1189,"AG_tc",1149,40
"30","Pakistan","workplaces_percent_change_from_baseline",1323,"AG_tc",1292,31
"31","Panama","transit_stations_percent_change_from_baseline",1089,"AG_tc",1061,28
"32","Peru","residential_percent_change_from_baseline",1684,"AG_tc",1641,43
"33","Philippines","transit",1473,"transit_tc",1498,-25
"34","Poland","transit_stations_percent_change_from_baseline",1176,"AG_tc",1155,21
"35","Portugal","transit_stations_percent_change_from_baseline",1053,"AG_tc",1036,17
"36","Romania","workplaces_percent_change_from_baseline",1299,"AG_tc",1263,36
"37","Russia","residential_percent_change_from_baseline",1674,"AG_tc",1645,29
"38","Saudi_Arabia","transit_stations_percent_change_from_baseline",1210,"AG_tc",1178,32
"39","South_Africa","parks_percent_change_from_baseline",1470,"Apple_c_tc",1468,2
"40","Spain","walking",1701,"Apple_c_tc",1651,50
"41","Sweden","transit_stations_percent_change_from_baseline",1246,"AG_tc",1203,43
"42","Switzerland","transit_stations_percent_change_from_baseline",876,"transit_tc",871,5
"43","Turkey","workplaces_percent_change_from_baseline",1426,"AG_tc",1366,60
"44","Ukraine","transit_stations_percent_change_from_baseline",1201,"AG_tc",1174,27
"45","United_Kingdom","transit",1927,"transit_tc",1892,35
"46","USA","transit",2871,"transit_tc",2815,56
