"","country","R0_1","Beta_1","Threshold_1","Rsq_1","R0_2","Beta_2","Threshold_2","Rsq_2"
"1","Afghanistan","0.91 ; 95%CrI [0.76 ; 1.06]","-0.72 ; 95%CrI [-1.53 ; 0.09]","NA",0,"","","",""
"2","Argentina","3.26 ; 95%CrI [1.73 ; 4.81]","1.5 ; 95%CrI [0.47 ; 2.24]","0.8 ; 95%CrI [0.62 ; NA]",0.51,"0.69 ; 95%CrI [0.37 ; 1.2]","-1.1 ; 95%CrI [-2.59 ; 0.1]","NA","0.27"
"3","Australia","3.36 ; 95%CrI [2.13 ; 4.68]","2.35 ; 95%CrI [1.13 ; 3.45]","0.51 ; 95%CrI [0.38 ; 0.76]",0.18,"1.72 ; 95%CrI [0.16 ; 4.76]","2.9 ; 95%CrI [-7.36 ; 7.29]","NA","0.28"
"4","Austria","3.15 ; 95%CrI [2.27 ; 4.24]","3.33 ; 95%CrI [2.35 ; 4.37]","0.35 ; 95%CrI [0.28 ; 0.42]",0.83,"1.24 ; 95%CrI [1.01 ; 1.48]","1.25 ; 95%CrI [-0.19 ; 3.1]","NA","0.09"
"5","Bangladesh","3.2 ; 95%CrI [1.65 ; 4.83]","1.56 ; 95%CrI [0.25 ; 2.6]","0.75 ; 95%CrI [0.52 ; NA]",0.26,"0.93 ; 95%CrI [0.78 ; 1.12]","-0.54 ; 95%CrI [-1.18 ; 0.22]","NA","0.48"
"6","Belgium","3.37 ; 95%CrI [2.87 ; 3.87]","2.77 ; 95%CrI [2.34 ; 3.16]","0.44 ; 95%CrI [0.41 ; 0.48]",0.98,"1.2 ; 95%CrI [1.05 ; 1.36]","2.06 ; 95%CrI [1.18 ; 3.27]","0.09 ; 95%CrI [0.02 ; 0.19]","0.49"
"7","Bolivia","2.68 ; 95%CrI [0.54 ; 4.82]","0.72 ; 95%CrI [-1.48 ; 1.7]","",0.38,"0.69 ; 95%CrI [0.47 ; 1]","-0.89 ; 95%CrI [-1.64 ; -0.18]","NA","0.33"
"8","Brazil","3.81 ; 95%CrI [2.73 ; 4.81]","1.86 ; 95%CrI [1.13 ; 2.42]","0.72 ; 95%CrI [0.63 ; 0.93]",0.87,"0.88 ; 95%CrI [0.8 ; 0.98]","-0.35 ; 95%CrI [-0.64 ; 0.02]","NA","0.73"
"9","Canada","3.79 ; 95%CrI [2.62 ; 4.85]","2.01 ; 95%CrI [1.24 ; 2.65]","0.66 ; 95%CrI [0.57 ; 0.82]",0.54,"1.11 ; 95%CrI [0.95 ; 1.29]","1.19 ; 95%CrI [0.52 ; 2.02]","0.09 ; 95%CrI [-0.09 ; 0.17]","0.2"
"10","Chile","4.19 ; 95%CrI [2.53 ; 4.98]","2.02 ; 95%CrI [0.99 ; 2.56]","0.71 ; 95%CrI [0.61 ; 0.98]",0.68,"1.39 ; 95%CrI [0.98 ; 1.96]","1.46 ; 95%CrI [0.29 ; 2.63]","0.23 ; 95%CrI [-0.05 ; 0.28]","0.31"
"11","Colombia","4.09 ; 95%CrI [2.2 ; 4.96]","1.97 ; 95%CrI [0.88 ; 2.57]","0.71 ; 95%CrI [0.58 ; NA]",0.76,"0.82 ; 95%CrI [0.67 ; 0.99]","-0.92 ; 95%CrI [-1.53 ; -0.31]","NA","0.57"
"12","Costa_Rica","2.56 ; 95%CrI [0.9 ; 4.73]","0.63 ; 95%CrI [-1.42 ; 2.31]","",-0.01,"1.04 ; 95%CrI [0.5 ; 2.23]","-0.26 ; 95%CrI [-2.27 ; 1.93]","NA","0.38"
"13","Czechia","4.17 ; 95%CrI [2.65 ; 4.96]","3.47 ; 95%CrI [2.19 ; 4.43]","0.41 ; 95%CrI [0.33 ; 0.51]",0.91,"3.24 ; 95%CrI [0.95 ; 4.9]","2.07 ; 95%CrI [-1.32 ; 3.23]","NA","0.07"
"14","Denmark","4 ; 95%CrI [2.7 ; 4.92]","3.85 ; 95%CrI [2.52 ; 4.85]","0.36 ; 95%CrI [0.3 ; 0.45]",0.96,"0.99 ; 95%CrI [0.73 ; 1.26]","1.69 ; 95%CrI [0.17 ; 3.32]","-0.01 ; 95%CrI [-0.19 ; 0.57]","0.27"
"15","Dominican_R.","1.08 ; 95%CrI [0.88 ; 1.32]","0.02 ; 95%CrI [-0.97 ; 1.07]","NA",0.06,"","","",""
"16","Ecuador","0.87 ; 95%CrI [0.76 ; 1]","-0.35 ; 95%CrI [-1.06 ; 0.43]","NA",0,"","","",""
"17","Egypt","3.37 ; 95%CrI [2.23 ; 4.7]","1.86 ; 95%CrI [1.03 ; 2.57]","0.65 ; 95%CrI [0.57 ; 0.82]",0.85,"0.99 ; 95%CrI [0.86 ; 1.13]","0.62 ; 95%CrI [-0.28 ; 1.5]","NA","0.29"
"18","France","4.21 ; 95%CrI [3.7 ; 4.8]","2.36 ; 95%CrI [2.13 ; 2.6]","0.61 ; 95%CrI [0.58 ; 0.64]",0.7,"1.15 ; 95%CrI [1.04 ; 1.26]","1.25 ; 95%CrI [0.77 ; 1.88]","0.11 ; 95%CrI [0.04 ; 0.19]","0.32"
"19","Germany","3.82 ; 95%CrI [3.12 ; 4.58]","3.48 ; 95%CrI [2.8 ; 4.08]","0.39 ; 95%CrI [0.35 ; 0.43]",0.94,"0.97 ; 95%CrI [0.87 ; 1.09]","1.51 ; 95%CrI [0.96 ; 2.08]","-0.02 ; 95%CrI [-0.1 ; 0.06]","0.45"
"20","Guatemala","0.77 ; 95%CrI [0.63 ; 0.95]","-1.42 ; 95%CrI [-2.08 ; -0.72]","NA",0.42,"","","",""
"21","Honduras","0.98 ; 95%CrI [0.82 ; 1.12]","-0.52 ; 95%CrI [-1.13 ; 0.1]","NA",0.06,"","","",""
"22","Hungary","3.51 ; 95%CrI [2.03 ; 4.79]","2.1 ; 95%CrI [0.99 ; 2.93]","0.6 ; 95%CrI [0.49 ; 0.82]",0.68,"1.65 ; 95%CrI [1.37 ; 2.04]","1.73 ; 95%CrI [0.73 ; 3.01]","0.29 ; 95%CrI [0.18 ; 0.55]","0.26"
"23","India","3.6 ; 95%CrI [2.44 ; 4.86]","1.53 ; 95%CrI [0.84 ; 2.1]","0.85 ; 95%CrI [0.72 ; NA]",0.65,"0.8 ; 95%CrI [0.71 ; 0.91]","-0.75 ; 95%CrI [-1.06 ; -0.44]","NA","0.84"
"24","Indonesia","2.55 ; 95%CrI [1.79 ; 3.57]","1.5 ; 95%CrI [0.76 ; 2.24]","0.64 ; 95%CrI [0.5 ; 0.86]",0.44,"0.95 ; 95%CrI [0.7 ; 1.33]","-0.37 ; 95%CrI [-1.2 ; 0.55]","NA","0.06"
"25","Iraq","1.76 ; 95%CrI [1.17 ; 2.67]","1.49 ; 95%CrI [-0.05 ; 3.39]","",0.28,"0.78 ; 95%CrI [0.68 ; 0.9]","-3.61 ; 95%CrI [-4.92 ; -2.35]","NA","0.87"
"26","Ireland","3.91 ; 95%CrI [2.83 ; 4.88]","2.75 ; 95%CrI [1.98 ; 3.32]","0.5 ; 95%CrI [0.43 ; 0.58]",0.46,"1.65 ; 95%CrI [1.08 ; 2.51]","1.88 ; 95%CrI [0.52 ; 3.3]","0.27 ; 95%CrI [0.08 ; 0.42]","0.14"
"27","Israel","3.07 ; 95%CrI [1.96 ; 4.62]","2.14 ; 95%CrI [1.09 ; 3.21]","0.52 ; 95%CrI [0.42 ; 0.69]",0.6,"1.46 ; 95%CrI [1.18 ; 1.82]","2.85 ; 95%CrI [1.03 ; 4.83]","0.14 ; 95%CrI [0.09 ; 0.24]","0.49"
"28","Italy","2.73 ; 95%CrI [2.43 ; 3.07]","1.89 ; 95%CrI [1.64 ; 2.13]","0.53 ; 95%CrI [0.5 ; 0.57]",0.92,"1.2 ; 95%CrI [1.06 ; 1.34]","1.09 ; 95%CrI [0.58 ; 1.65]","0.17 ; 95%CrI [0.08 ; 0.26]","0.27"
"29","Japan","1.52 ; 95%CrI [1.14 ; 2.01]","1.14 ; 95%CrI [0.31 ; 1.92]","0.37 ; 95%CrI [0.24 ; 0.63]",0.18,"1 ; 95%CrI [0.77 ; 1.26]","-3.32 ; 95%CrI [-6.75 ; 0.36]","NA","0.48"
"30","Libya","1.07 ; 95%CrI [0.81 ; 1.38]","-1.22 ; 95%CrI [-2.86 ; 0.38]","NA",0.17,"","","",""
"31","Mexico","0.82 ; 95%CrI [0.76 ; 0.9]","-0.79 ; 95%CrI [-1.04 ; -0.55]","NA",0.05,"","","",""
"32","Moldova","2.78 ; 95%CrI [1.44 ; 4.59]","3.51 ; 95%CrI [0.23 ; 7.93]","0.29 ; 95%CrI [0.17 ; NA]",0.49,"1.12 ; 95%CrI [0.72 ; 1.73]","-0.06 ; 95%CrI [-3.12 ; 3.26]","NA","0"
"33","Morocco","3.12 ; 95%CrI [2.2 ; 4.26]","2.34 ; 95%CrI [1.47 ; 3.23]","0.48 ; 95%CrI [0.39 ; 0.62]",0.48,"2.59 ; 95%CrI [1.08 ; 4.61]","3.79 ; 95%CrI [-0.28 ; 6.65]","NA","0.65"
"34","Netherlands","3.39 ; 95%CrI [2.78 ; 4.06]","2.47 ; 95%CrI [1.99 ; 2.91]","0.5 ; 95%CrI [0.45 ; 0.55]",0.93,"1.55 ; 95%CrI [1.26 ; 1.87]","1.83 ; 95%CrI [1.08 ; 2.82]","0.24 ; 95%CrI [0.16 ; 0.34]","0.29"
"35","Pakistan","3.43 ; 95%CrI [1.78 ; 4.88]","1.86 ; 95%CrI [0.45 ; 2.8]","0.66 ; 95%CrI [0.54 ; NA]",0.83,"0.74 ; 95%CrI [0.58 ; 0.97]","-1.7 ; 95%CrI [-3.15 ; -0.18]","NA","0.12"
"36","Panama","2.53 ; 95%CrI [1.54 ; 3.93]","1.81 ; 95%CrI [0.53 ; 2.97]","0.52 ; 95%CrI [0.42 ; 0.9]",0.39,"2.72 ; 95%CrI [0.6 ; 4.89]","3.54 ; 95%CrI [-1.9 ; 5.85]","NA","0.31"
"37","Paraguay","1.81 ; 95%CrI [0.9 ; 3.76]","2.07 ; 95%CrI [-1.74 ; 6.53]","NA",0,"","","",""
"38","Peru","3.36 ; 95%CrI [1.91 ; 4.87]","1.22 ; 95%CrI [0.32 ; 1.81]","0.99 ; 95%CrI [0.83 ; NA]",0.6,"0.6 ; 95%CrI [0.32 ; 1.12]","-0.9 ; 95%CrI [-2.02 ; 0.24]","NA","0.37"
"39","Philippines","1.52 ; 95%CrI [0.97 ; 2.36]","0.64 ; 95%CrI [-0.1 ; 1.43]","NA",0.41,"","","",""
"40","Poland","1.2 ; 95%CrI [0.86 ; 1.63]","0.14 ; 95%CrI [-0.53 ; 0.79]","",0.01,"1.48 ; 95%CrI [1.27 ; 1.68]","-2.01 ; 95%CrI [-3.66 ; -0.41]","NA","0.45"
"41","Portugal","3.32 ; 95%CrI [2.51 ; 4.22]","2.19 ; 95%CrI [1.61 ; 2.75]","0.55 ; 95%CrI [0.47 ; 0.64]",0.91,"1.19 ; 95%CrI [1.04 ; 1.36]","0.49 ; 95%CrI [0 ; 1.06]","NA","0.19"
"42","Romania","4.43 ; 95%CrI [3.05 ; 4.97]","2.44 ; 95%CrI [1.64 ; 2.92]","0.61 ; 95%CrI [0.52 ; 0.73]",0.93,"1.11 ; 95%CrI [1.01 ; 1.21]","0.19 ; 95%CrI [-0.39 ; 0.72]","NA","0"
"43","Russia","4.28 ; 95%CrI [2.79 ; 4.97]","2.14 ; 95%CrI [1.26 ; 2.61]","0.68 ; 95%CrI [0.59 ; 0.89]",0.89,"1.04 ; 95%CrI [0.96 ; 1.11]","0.03 ; 95%CrI [-0.22 ; 0.39]","NA","0.29"
"44","Saudi_Arabia","4.04 ; 95%CrI [2.07 ; 4.94]","2.16 ; 95%CrI [0.76 ; 2.88]","0.65 ; 95%CrI [0.53 ; NA]",0.87,"0.87 ; 95%CrI [0.73 ; 1.06]","-1.22 ; 95%CrI [-2.15 ; -0.16]","NA","0.64"
"45","South_Africa","0.8 ; 95%CrI [0.71 ; 0.9]","-1.13 ; 95%CrI [-1.58 ; -0.71]","NA",0.1,"","","",""
"46","Spain","2.06 ; 95%CrI [1.88 ; 2.23]","1.97 ; 95%CrI [1.74 ; 2.18]","0.37 ; 95%CrI [0.33 ; 0.41]",0.77,"1.18 ; 95%CrI [1.07 ; 1.28]","1.7 ; 95%CrI [1.05 ; 2.64]","0.1 ; 95%CrI [0.04 ; 0.17]","0.47"
"47","Sweden","3.58 ; 95%CrI [2.69 ; 4.57]","3.31 ; 95%CrI [2.38 ; 4.07]","0.39 ; 95%CrI [0.35 ; 0.44]",0.82,"0.92 ; 95%CrI [0.79 ; 1.07]","0.2 ; 95%CrI [-0.51 ; 0.98]","NA","0.08"
"48","Switzerland","3.19 ; 95%CrI [2.5 ; 3.97]","4.37 ; 95%CrI [3.29 ; 5.42]","0.27 ; 95%CrI [0.23 ; 0.31]",0.94,"1.04 ; 95%CrI [0.77 ; 1.34]","3.14 ; 95%CrI [0.49 ; 6.61]","0.01 ; 95%CrI [-0.07 ; 0.36]","0.04"
"49","Turkey","3.59 ; 95%CrI [2.88 ; 4.36]","2.45 ; 95%CrI [1.96 ; 2.94]","0.52 ; 95%CrI [0.47 ; 0.58]",0.94,"1.06 ; 95%CrI [0.96 ; 1.17]","0.4 ; 95%CrI [0.04 ; 0.78]","0.16 ; 95%CrI [-0.06 ; NA]","0.34"
"50","Ukraine","3.68 ; 95%CrI [2 ; 4.92]","2.57 ; 95%CrI [0.94 ; 3.73]","0.51 ; 95%CrI [0.4 ; 0.8]",0.81,"1.06 ; 95%CrI [0.89 ; 1.22]","0.3 ; 95%CrI [-0.24 ; 0.96]","NA","0.02"
"51","United_Kingdom","3.55 ; 95%CrI [3.11 ; 4.02]","2.92 ; 95%CrI [2.6 ; 3.24]","0.43 ; 95%CrI [0.41 ; 0.46]",0.98,"1.59 ; 95%CrI [1.37 ; 1.85]","2.64 ; 95%CrI [1.93 ; 3.45]","0.18 ; 95%CrI [0.14 ; 0.21]","0.69"
"52","USA","3.33 ; 95%CrI [2.94 ; 3.77]","2.25 ; 95%CrI [1.98 ; 2.53]","0.54 ; 95%CrI [0.51 ; 0.57]",0.72,"1.03 ; 95%CrI [0.97 ; 1.1]","0.5 ; 95%CrI [0.2 ; 0.82]","0.07 ; 95%CrI [-0.14 ; 0.14]","0.13"
