"","country","R0_1","Beta_1","Threshold_1","Rsq_1","R0_2","Beta_2","Threshold_2","Rsq_2"
"1","Afghanistan","0.93 ; 95%CrI [0.78 ; 1.08]","-0.48 ; 95%CrI [-1.31 ; 0.27]","NA",0,"","","",""
"2","Argentina","2.64 ; 95%CrI [1.33 ; 4.34]","1.23 ; 95%CrI [0.05 ; 2.12]","0.02 ; 95%CrI [NA ; NA]",0.51,"0.72 ; 95%CrI [0.4 ; 1.2]","-0.95 ; 95%CrI [-2.28 ; 0.18]","NA","0.26"
"3","Australia","2.66 ; 95%CrI [1.64 ; 4.07]","1.87 ; 95%CrI [0.59 ; 3.1]","0.53 ; 95%CrI [0.39 ; NA]",0.19,"2.19 ; 95%CrI [0.16 ; 4.83]","3.75 ; 95%CrI [-7.51 ; 7.25]","NA","0.22"
"4","Austria","2.46 ; 95%CrI [1.75 ; 3.42]","2.53 ; 95%CrI [1.48 ; 3.59]","0.32 ; 95%CrI [0.2 ; 0.59]",0.84,"1.23 ; 95%CrI [0.99 ; 1.48]","1.05 ; 95%CrI [-0.48 ; 2.76]","NA","0.08"
"5","Bangladesh","2.54 ; 95%CrI [1.37 ; 4.48]","1.21 ; 95%CrI [-0.08 ; 2.48]","",0.27,"0.97 ; 95%CrI [0.81 ; 1.17]","-0.35 ; 95%CrI [-1.02 ; 0.39]","NA","0.48"
"6","Belgium","2.63 ; 95%CrI [2.26 ; 3.07]","2.15 ; 95%CrI [1.74 ; 2.55]","0.45 ; 95%CrI [0.4 ; 0.51]",0.98,"1.19 ; 95%CrI [1.06 ; 1.35]","1.49 ; 95%CrI [0.76 ; 2.56]","0.12 ; 95%CrI [0.04 ; 0.27]","0.49"
"7","Bolivia","2.09 ; 95%CrI [0.55 ; 4.66]","0.47 ; 95%CrI [-1.4 ; 1.71]","",0.35,"0.8 ; 95%CrI [0.54 ; 1.16]","-0.58 ; 95%CrI [-1.35 ; 0.17]","NA","0.32"
"8","Brazil","2.78 ; 95%CrI [1.9 ; 3.81]","1.45 ; 95%CrI [0.61 ; 2.16]","0.71 ; 95%CrI [0.6 ; NA]",0.87,"0.91 ; 95%CrI [0.83 ; 1.01]","-0.23 ; 95%CrI [-0.55 ; 0.12]","NA","0.73"
"9","Canada","2.9 ; 95%CrI [1.96 ; 4]","1.69 ; 95%CrI [0.89 ; 2.4]","0.63 ; 95%CrI [0.54 ; 0.83]",0.56,"1.13 ; 95%CrI [0.97 ; 1.34]","1.06 ; 95%CrI [0.31 ; 2.26]","0.12 ; 95%CrI [-0.08 ; 0.22]","0.2"
"10","Chile","3.67 ; 95%CrI [1.75 ; 4.91]","1.96 ; 95%CrI [0.47 ; 2.68]","0.66 ; 95%CrI [0.57 ; NA]",0.68,"1.35 ; 95%CrI [0.95 ; 1.9]","1.23 ; 95%CrI [0.12 ; 2.42]","0.24 ; 95%CrI [-0.37 ; 0.3]","0.32"
"11","Colombia","3.45 ; 95%CrI [1.66 ; 4.89]","1.81 ; 95%CrI [0.38 ; 2.6]","0.69 ; 95%CrI [0.56 ; NA]",0.77,"0.87 ; 95%CrI [0.73 ; 1.05]","-0.67 ; 95%CrI [-1.22 ; -0.09]","NA","0.56"
"12","Costa_Rica","2.12 ; 95%CrI [0.74 ; 4.53]","0.41 ; 95%CrI [-1.84 ; 2.29]","",-0.01,"1.08 ; 95%CrI [0.51 ; 2.29]","-0.11 ; 95%CrI [-2.29 ; 1.94]","NA","0.43"
"13","Czechia","3.4 ; 95%CrI [2.04 ; 4.87]","2.92 ; 95%CrI [1.49 ; 4.08]","0.5 ; 95%CrI [0.44 ; 0.66]",0.93,"3.07 ; 95%CrI [0.98 ; 4.93]","2.08 ; 95%CrI [-1.13 ; 3.44]","NA","0.07"
"14","Denmark","3.11 ; 95%CrI [1.93 ; 4.5]","3.08 ; 95%CrI [1.49 ; 4.44]","0.37 ; 95%CrI [0.3 ; 0.49]",0.96,"1.03 ; 95%CrI [0.76 ; 1.35]","1.41 ; 95%CrI [-0.26 ; 3.19]","NA","0.26"
"15","Dominican_R.","1.08 ; 95%CrI [0.89 ; 1.29]","0.12 ; 95%CrI [-0.9 ; 1.03]","NA",0.05,"","","",""
"16","Ecuador","0.89 ; 95%CrI [0.78 ; 1.02]","-0.17 ; 95%CrI [-0.89 ; 0.54]","NA",0,"","","",""
"17","Egypt","2.68 ; 95%CrI [1.69 ; 4.08]","1.5 ; 95%CrI [0.59 ; 2.41]","0.65 ; 95%CrI [0.55 ; 0.97]",0.85,"1.01 ; 95%CrI [0.88 ; 1.16]","0.44 ; 95%CrI [-0.37 ; 1.38]","NA","0.29"
"18","France","3.07 ; 95%CrI [2.66 ; 3.58]","1.84 ; 95%CrI [1.58 ; 2.11]","0.61 ; 95%CrI [0.57 ; 0.65]",0.71,"1.1 ; 95%CrI [1 ; 1.21]","0.93 ; 95%CrI [0.46 ; 1.51]","0.11 ; 95%CrI [0 ; 0.23]","0.31"
"19","Germany","2.92 ; 95%CrI [2.29 ; 3.53]","2.78 ; 95%CrI [2.06 ; 3.44]","0.39 ; 95%CrI [0.35 ; 0.44]",0.94,"0.99 ; 95%CrI [0.88 ; 1.11]","1.15 ; 95%CrI [0.63 ; 1.77]","-0.01 ; 95%CrI [-0.11 ; 0.1]","0.45"
"20","Guatemala","0.82 ; 95%CrI [0.65 ; 1.01]","-1.14 ; 95%CrI [-1.85 ; -0.41]","NA",0.41,"","","",""
"21","Honduras","0.99 ; 95%CrI [0.84 ; 1.16]","-0.39 ; 95%CrI [-0.93 ; 0.19]","NA",0.06,"","","",""
"22","Hungary","2.76 ; 95%CrI [1.6 ; 4.37]","1.66 ; 95%CrI [0.51 ; 2.64]","0.61 ; 95%CrI [0.47 ; NA]",0.69,"1.54 ; 95%CrI [1.27 ; 1.88]","1.42 ; 95%CrI [0.41 ; 2.66]","0.3 ; 95%CrI [0.18 ; 0.75]","0.26"
"23","India","2.87 ; 95%CrI [1.76 ; 4.04]","1.27 ; 95%CrI [0.39 ; 1.93]","0.83 ; 95%CrI [0.7 ; NA]",0.65,"0.85 ; 95%CrI [0.75 ; 0.96]","-0.57 ; 95%CrI [-0.89 ; -0.24]","NA","0.84"
"24","Indonesia","2.06 ; 95%CrI [1.44 ; 2.93]","1.11 ; 95%CrI [0.37 ; 1.83]","0.66 ; 95%CrI [0.48 ; NA]",0.44,"0.98 ; 95%CrI [0.71 ; 1.39]","-0.24 ; 95%CrI [-1.06 ; 0.73]","NA","0.06"
"25","Iraq","1.53 ; 95%CrI [0.94 ; 2.34]","0.93 ; 95%CrI [-0.79 ; 2.74]","",0.27,"0.84 ; 95%CrI [0.73 ; 0.97]","-2.76 ; 95%CrI [-4.1 ; -1.49]","NA","0.86"
"26","Ireland","3.05 ; 95%CrI [2.19 ; 4.15]","2.24 ; 95%CrI [1.49 ; 2.99]","0.44 ; 95%CrI [0.37 ; 0.54]",0.48,"1.53 ; 95%CrI [0.96 ; 2.41]","1.45 ; 95%CrI [0.06 ; 3.09]","NA ; 95%CrI [NA ; NA]","0.14"
"27","Israel","2.49 ; 95%CrI [1.59 ; 3.93]","1.66 ; 95%CrI [0.62 ; 2.76]","0.55 ; 95%CrI [0.43 ; 0.9]",0.58,"1.41 ; 95%CrI [1.14 ; 1.76]","2.63 ; 95%CrI [0.88 ; 4.61]","0.13 ; 95%CrI [0.08 ; 0.23]","0.47"
"28","Italy","2.16 ; 95%CrI [1.89 ; 2.44]","1.45 ; 95%CrI [1.21 ; 1.71]","0.53 ; 95%CrI [0.49 ; 0.58]",0.92,"1.19 ; 95%CrI [1.05 ; 1.35]","0.87 ; 95%CrI [0.34 ; 1.45]","0.21 ; 95%CrI [0.09 ; 0.36]","0.27"
"29","Japan","1.47 ; 95%CrI [1.11 ; 1.98]","1 ; 95%CrI [0.2 ; 1.83]","0.43 ; 95%CrI [0.22 ; NA]",0.18,"1.04 ; 95%CrI [0.79 ; 1.31]","-2.25 ; 95%CrI [-5.87 ; 0.96]","NA","0.48"
"30","Libya","1.06 ; 95%CrI [0.81 ; 1.36]","-1.03 ; 95%CrI [-2.6 ; 0.64]","NA",0.18,"","","",""
"31","Mexico","0.87 ; 95%CrI [0.8 ; 0.94]","-0.58 ; 95%CrI [-0.82 ; -0.32]","NA",0.04,"","","",""
